pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cómo se llama el androide creado por el Dr. Gero que se convierte en aliado de los Guerreros Z?,Androide 16,Androide 18,Androide 17,Cell,1
¿Qué objeto se utiliza para revivir a las personas en Dragon Ball?,Espada Z,Esferas del Dragón,Aretes Pothala,Semillas del Ermitaño,2
¿Cuál es la transformación que supera al Super Saiyajin 3?,Super Saiyajin Dios,Kaio-ken,Kaio-kenx20,Super Saiyajin 2,1
¿Cómo se llama el primer villano que enfrentan Goku y Vegeta juntos?,Raditz,Nappa,Freezer,Buu,3
¿Quién fue el maestro de Gohan en su entrenamiento para enfrentar a los Saiyajin?,Maestro Roshi,Goku,Karin,Piccolo,4
¿Qué transformación alcanza Goku por primera vez en la saga de Freezer?,Ultra Instinto,Kaio-ken x10,Super Saiyajin,Super Saiyajin 2,3
¿Quién derrota a Cell durante los juegos de cell?,Trunks del Futuro,Goku,Vegeta,Gohan,4
¿Cómo se llama el dragón oscuro principal en Dragon Ball GT?,Li Shenlong,Omega Shenlong,Nova Shenlong,Ice Shenlong,2
¿Qué técnica especial aprende Vegeta durante Dragon Ball Super?,Hakai,Final Atonement,Big Bang Attack,Ultra Ego,4
¿Quién es el padre de Bulma?,Dr. Briefs,Dr. Gero,Dr. Wheelo,Dr. Myu,1
¿Que objeto utilizan para fusionarse Goku y Vegeta en la saga de Buu?,Kaio-ken,Dos cucharas,Pendientes Potara,kamehameha,3
¿Cómo se llama el planeta natal de los Saiyajin?,Planeta Tierra,Planeta Vegeta,Planeta Namek,Planeta Vampa,2
¿Quién derrota a Freezer en la saga de Namek?,Goku,Vegeta,Trunks,Gohan,1
¿Cuál es la forma final de Majin Buu?,Majin Buu,Buu Gordo,Kid Buu,Buu Flaco,3
¿Quién fue el primer maestro de Goku?,Karin,Maestro Roshi,Kaio-sama,Milk,2
¿Qué técnica usa Krilin para crear un disco cortante?,Disco Destructor,Kamehameha,Masenko,Galick Gun,1
¿Cómo se llama la fusión de Goku y Vegeta con los pendientes Pothala?,Gotenks,Vegetto,Gogeta,Kefla,2
¿Qué objeto lleva Goku para aumentar su peso durante el entrenamiento con el Maestro Roshi?,Bastón,Traje pesado,Peso en los tobillos,Caparazón de tortuga,4
¿Qué androide es el hermano de Androide 18?,Androide 19,Androide 16,Androide 17,Cell,3
¿Cuál es el nombre del dios de la destrucción del Universo 7?,Champa,Zeno,Bills,Whis,3
¿Cómo se llama el hermano gemelo de Bills?,Whis,Champa,Daishinkan,Zeno,2
¿Qué técnica aprende Goku con el Maestro Kaio?,Kamehameha,Kaio-ken,Genkidama,Teletransportación,2
¿Cómo se llama la madre de Goku?,Seripa,Fasha,Gine,Hine,3
¿Quién creó a los androides 17 y 18?,Dr. Briefs,Dr. Gero,Dr. Myu,Dr. Wheelo,2
¿Qué raza pertenece Piccolo?,Saiyajin,Humano,Namekiano,Androide,3
¿Quién derrota a Kid Buu en Dragon Ball Z?,Vegeta,Gohan,Goku,Trunks,3
¿Cuál es el nombre del torneo de artes marciales organizado por Zeno-Sama?,Torneo de Poder,Torneo del Más Allá,Torneo Universal,Torneo Galáctico,1
¿Quién fue el primer villano en aparecer en Dragon Ball?,Freezer,Pilaf,Raditz,Cell,2
¿Cómo se llama el androide que absorbe energía en Dragon Ball Z?,Androide 17,Androide 18,Androide 19,Cell,3
¿Quién es el maestro de Bills?,Zeno,Champa,Whis,Daishinkan,3
¿Qué planeta explota en la saga de Freezer?,Planeta Vegeta,Planeta Tierra,Planeta Namek,Planeta Vampa,3
¿Cómo se llama la técnica definitiva de Vegeta?,Final Flash,Galick Gun,Big Bang Attack,Fusion Dance,1
¿Quién crea la máquina del tiempo en Dragon Ball Z?,Bulma,Dr. Briefs,Trunks del Futuro,Dr. Gero,2
¿Qué transformación obtiene Trunks del Futuro para derrotar a Zamasu?,Super Saiyajin 2,Super Saiyajin Azul,Furia del Super Saiyajin,Ultra Instinto,3
¿Cómo se llama el asistente de Zeno?,Daishinkan,Whis,Champa,Vados,1
¿Qué técnica utiliza Gohan para derrotar a Cell?,Kamehameha,Masenko,Genkidama,Kaio-ken,1
¿Cuál es el deseo inicial que pide Pilaf en las Esferas del Dragón?,Ser inmortal,Convertirse en joven,Gobernar el mundo,Tener riqueza infinita,1
